Number Threads, Time (s)
1, 1.9484779834747314
2, 1.0910570621490479
3, 0.8561820983886719
4, 0.7171664237976074
5, 0.7757687568664551
6, 0.7371103763580322
7, 0.6820230484008789
8, 0.6340529918670654
9, 0.6688747406005859
10, 0.7592418193817139
11, 0.7317426204681396
12, 0.7339835166931152
13, 0.6891701221466064
14, 0.6864054203033447
15, 0.6348896026611328
16, 0.6382977962493896
17, 0.6323881149291992
18, 0.6385653018951416
19, 0.6678662300109863
20, 0.6653780937194824
21, 0.6655995845794678
22, 0.6635799407958984
23, 0.6583917140960693
24, 0.6599416732788086
25, 0.6220085620880127
26, 0.6252624988555908
27, 0.6192319393157959
28, 0.6255156993865967
29, 0.6137597560882568
