Number Threads, Time (s)
1, 4.586423873901367
2, 2.2423665523529053
3, 1.8534047603607178
4, 1.5315654277801514
5, 1.8260548114776611
6, 1.649796485900879
7, 1.4787280559539795
8, 1.358067274093628
9, 1.656914472579956
10, 1.712068796157837
11, 1.700432300567627
12, 1.7049503326416016
13, 1.5734930038452148
14, 1.5649137496948242
15, 1.4309749603271484
16, 1.5068891048431396
17, 1.6832995414733887
18, 1.8638367652893066
19, 1.735276460647583
20, 1.503450870513916
21, 1.5371177196502686
22, 1.6621911525726318
23, 1.6857085227966309
24, 1.6375126838684082
25, 1.6620771884918213
26, 1.6097891330718994
27, 1.5814509391784668
28, 1.5961964130401611
29, 1.5902442932128906
30, 1.6734414100646973
31, 1.612657070159912
32, 1.7702233791351318
33, 2.161801815032959
34, 1.780874252319336
35, 1.5365803241729736
36, 1.9031696319580078
37, 1.7052195072174072
38, 1.729923963546753
39, 2.1357839107513428
40, 1.647364854812622
41, 1.468003273010254
42, 1.4513731002807617
43, 1.7305881977081299
44, 1.4983608722686768
45, 1.939404010772705
46, 1.5770244598388672
47, 1.5931510925292969
48, 1.5080490112304688
49, 1.6376430988311768
50, 1.4900777339935303
51, 1.8190696239471436
52, 1.6888585090637207
53, 1.5484209060668945
54, 1.5546667575836182
55, 1.6440694332122803
56, 1.575786828994751
57, 1.5551936626434326
58, 1.651099443435669
59, 1.4772984981536865
