Number Threads, Time (s)
0, 0.0041468143463134766
1, 0.5393624305725098
2, 0.38071441650390625
3, 0.2732110023498535
4, 0.27027201652526855
5, 0.2438666820526123
6, 0.22596096992492676
7, 0.21730756759643555
8, 0.21015596389770508
9, 0.293109655380249
10, 0.2554619312286377
11, 0.2584660053253174
12, 0.2642204761505127
13, 0.24425840377807617
14, 0.23623871803283691
15, 0.24628329277038574
16, 0.24964642524719238
17, 0.21429061889648438
18, 0.2266998291015625
19, 0.24176621437072754
20, 0.24564790725708008
21, 0.24380946159362793
22, 0.24979186058044434
23, 0.23514652252197266
24, 0.24485039710998535
25, 0.22614264488220215
26, 0.20981359481811523
27, 0.21270132064819336
28, 0.22194242477416992
29, 0.21775531768798828
