Number Threads, Time (s)
1, 4.423524618148804
2, 2.392641544342041
3, 1.855891466140747
4, 1.6430890560150146
5, 1.8124701976776123
6, 1.6333839893341064
7, 1.4886550903320312
8, 1.3759369850158691
9, 1.6393580436706543
10, 1.6990559101104736
11, 1.692617416381836
12, 1.705904483795166
13, 1.561748743057251
14, 1.5606887340545654
15, 1.4226715564727783
16, 1.441103458404541
17, 1.3786523342132568
18, 1.3885831832885742
19, 1.3821923732757568
20, 1.4961040019989014
21, 1.5132150650024414
22, 1.5076053142547607
23, 1.5107176303863525
24, 1.5135180950164795
