Thread Profile - 2024-10-07 09:04:02.752015
Number Threads, Time (s)
1, 116.94242548942566
2, 64.57051515579224
3, 50.876182556152344
4, 43.567636251449585
5, 38.12343382835388
6, 34.20580315589905
7, 30.401528358459473
8, 27.75542688369751
9, 25.577634572982788
10, 23.59806990623474
11, 22.630088329315186
12, 22.02906060218811
13, 25.497740745544434
14, 25.52424192428589
15, 25.160773277282715
16, 25.84659481048584
17, 23.26593255996704
18, 22.81372332572937
19, 23.257143259048462
20, 23.08121132850647
21, 23.10398578643799
22, 23.125521659851074
23, 23.256718158721924
24, 22.55208659172058
25, 23.17712926864624
26, 23.17575454711914
27, 23.070920705795288
28, 23.132770776748657
29, 22.932568550109863
30, 22.82219409942627
31, 22.679816246032715
32, 22.653417110443115
33, 22.698488235473633
34, 22.674546718597412
35, 22.549801349639893
36, 22.603987455368042
37, 22.653810024261475
38, 22.626012086868286
39, 22.642043352127075
